text,label
"it's alright",neutral
"meh",neutral
"The professor's real-world experience enriches every discussion",positive
"Important announcements get buried in endless email threads",negative
"The syllabus is clear and well-organized",neutral
"The scaffolded assignments help build skills progressively",positive
"The midterm was on topics we briefly mentioned once",negative
"The learning materials are adequate for the course goals",neutral
"I feel empowered to continue learning this subject independently",positive
"The wait time for grading is unreasonably long",negative
"The course covers the essentials without unnecessary fluff",neutral
"The professor creates a safe space for asking questions",positive
"The platform logs me out constantly during timed assessments",negative
"The difficulty curve is gradual and manageable",neutral
"The course opened my eyes to career paths I didn't know existed",positive
"I'm frustrated by the lack of partial credit on exams",negative
"The module is what you'd expect from a core requirement",neutral
"The instructor provides multiple ways to engage with the content",positive
"The discussion board questions feel like busywork with no value",negative
"The course follows a predictable and familiar structure",neutral
"I'm inspired to pursue graduate studies in this field now",positive
"The grading errors are frequent and create unnecessary stress",negative
"The content is neither too easy nor too challenging",neutral
"The formative assessments help me identify gaps early",positive
"Lecture recordings are often missing or uploaded very late",negative
"The module provides a balanced overview of the subject",neutral
"I value the inclusive language and diverse examples used",positive
"The course software is glitchy and crashes during submissions",negative
"satisfactory",neutral
"passable",neutral
"moderate",neutral
"The professor truly understands how students learn best",positive
"I feel unprepared for the exam based on what we practiced",negative
"The course meets minimum expectations for this credit level",neutral
"The study guides matched the exam content perfectly",positive
"Attendance is mandatory but lectures are not recorded as backup",negative
"The course is comparable to similar offerings at other schools",neutral
"The blended learning approach accommodates different learning styles",positive
"I'm penalized for things that were never explained upfront",negative
"The module delivers standard academic content",neutral
"The enthusiasm and support from this professor is unmatched",positive
"The course lacks structure and feels improvised each week",negative
